job_title,years_of_experience,location,education_level,company_size,skills,salary_usd
Robotics Engineer,18,Israel,Master,Small,"Linux, PyTorch, SQL, Statistics",111381
AI Specialist,1,China,Bachelor,Medium,"Tableau, Docker, GCP",41430
Data Engineer,15,Netherlands,Associate,Large,"Computer Vision, Azure, Tableau",194313.6
Data Scientist,2,United States,Bachelor,Medium,"Data Visualization, Azure, Spark, MLOps",96956
AI Architect,8,United States,Bachelor,Large,"Java, Mathematics, SQL",196954
AI Specialist,1,Finland,Associate,Large,"Spark, Mathematics, GCP",56745
Machine Learning Researcher,8,Singapore,Associate,Medium,"Hadoop, Docker, Python, Azure",113455
ML Ops Engineer,5,Netherlands,Bachelor,Medium,"Docker, R, Linux",185805.36
AI Research Scientist,7,United States,Associate,Medium,"Data Visualization, Statistics, R",174663
AI Research Scientist,1,India,PhD,Small,"Scala, Java, Tableau",46753
AI Software Engineer,4,China,Bachelor,Large,"Java, Azure, GCP",69020
AI Specialist,12,Switzerland,Bachelor,Small,"Deep Learning, Git, Data Visualization, Linux, Java",288815
AI Consultant,19,Austria,PhD,Medium,"Hadoop, AWS, Linux, Docker, Statistics",124871
AI Architect,4,Germany,PhD,Small,"Deep Learning, SQL, Mathematics",82357.47
Research Scientist,17,India,Master,Medium,"Linux, R, Azure, Mathematics, Git",115376
Research Scientist,3,United States,Associate,Small,"Docker, Tableau, Mathematics",106579
Data Scientist,8,Norway,PhD,Small,"R, PyTorch, Kubernetes, Computer Vision",135230
Research Scientist,4,Israel,Master,Small,"Python, Tableau, TensorFlow, AWS",67607
AI Architect,3,Canada,Associate,Large,"Azure, Kubernetes, TensorFlow, Statistics, Spark",88470
Autonomous Systems Engineer,4,India,Associate,Large,"Python, Docker, GCP, Scala",79863
Machine Learning Engineer,0,Israel,PhD,Large,"Git, Linux, Python, TensorFlow, Mathematics",60299
Machine Learning Engineer,4,Germany,Associate,Medium,"PyTorch, Computer Vision, R",100204.65
AI Software Engineer,8,United Kingdom,Associate,Small,"R, Spark, AWS",148799.7
Data Scientist,1,China,Associate,Medium,"Tableau, NLP, Azure, Statistics, PyTorch",49365
Data Scientist,6,Norway,Bachelor,Small,"TensorFlow, Azure, Computer Vision, Data Visualization",162296
AI Consultant,3,Switzerland,PhD,Medium,"TensorFlow, Scala, Docker, Statistics",102382
AI Software Engineer,4,Australia,PhD,Medium,"Java, R, Deep Learning, NLP, Azure",99972
Data Engineer,0,South Korea,Bachelor,Large,"Java, Git, Deep Learning",64129
AI Specialist,8,Ireland,PhD,Small,"Mathematics, Spark, Python, AWS",87938
Autonomous Systems Engineer,4,Israel,Associate,Large,"SQL, Java, MLOps, Linux, PyTorch",71405
Machine Learning Engineer,12,Denmark,Associate,Medium,"Python, Scala, Statistics, Git",316182
Machine Learning Researcher,0,Germany,Bachelor,Medium,"Hadoop, Python, Kubernetes, Azure",84777.03
Principal Data Scientist,3,France,Associate,Large,"MLOps, Kubernetes, Git, Python",91655.46
NLP Engineer,4,Israel,Bachelor,Medium,"AWS, Kubernetes, Azure",51907
Autonomous Systems Engineer,7,France,Master,Small,"PyTorch, Kubernetes, Git, SQL",143712.27
Machine Learning Researcher,3,Norway,Associate,Small,"NLP, Azure, Statistics, Spark, Mathematics",124820
Autonomous Systems Engineer,9,United Kingdom,PhD,Small,"Linux, R, Tableau",181170
Data Engineer,0,Sweden,PhD,Small,"Scala, R, Tableau, Data Visualization",51920
Data Engineer,0,Singapore,Master,Medium,"Mathematics, Kubernetes, Spark",56427
AI Product Manager,16,Canada,Bachelor,Small,"Kubernetes, Spark, Statistics, Scala",213783
ML Ops Engineer,2,Israel,Associate,Medium,"MLOps, SQL, Statistics",59728
Computer Vision Engineer,6,India,PhD,Large,"Scala, MLOps, NLP",119432
AI Research Scientist,12,United States,Master,Medium,"PyTorch, Linux, SQL",284486
Data Analyst,17,France,Bachelor,Large,"Git, Kubernetes, TensorFlow, R, Java",184388.49
ML Ops Engineer,19,Australia,Master,Large,"R, Tableau, SQL, MLOps, Docker",196942
Machine Learning Researcher,10,Canada,PhD,Medium,"NLP, Azure, Spark, Data Visualization",207548
NLP Engineer,3,Sweden,PhD,Small,"Java, SQL, Spark, Tableau, Azure",68838
ML Ops Engineer,13,Finland,PhD,Large,"Docker, Python, Git, Kubernetes, Java",125666
NLP Engineer,0,Denmark,Associate,Medium,"Git, MLOps, Hadoop, Python, Spark",73174
Autonomous Systems Engineer,0,Israel,Bachelor,Small,"SQL, Kubernetes, Docker",33314
AI Specialist,0,United States,Associate,Small,"R, NLP, SQL, GCP",69914
Principal Data Scientist,11,France,Master,Medium,"Spark, SQL, Python, Mathematics, Linux",177978.06
AI Software Engineer,0,France,PhD,Large,"PyTorch, Hadoop, Scala, Computer Vision",91276.38
Research Scientist,0,Canada,Bachelor,Small,"Hadoop, Spark, Kubernetes, Python",48466
Data Analyst,8,France,PhD,Small,"Hadoop, Python, TensorFlow, R, Statistics",114656.49
Principal Data Scientist,9,Singapore,Bachelor,Small,"Computer Vision, PyTorch, GCP, Linux",128341
AI Research Scientist,3,United States,PhD,Large,"Java, Hadoop, Mathematics",111528
Machine Learning Researcher,19,Canada,Master,Small,"Linux, R, NLP, PyTorch, Git",138945
NLP Engineer,8,Israel,Bachelor,Medium,"Statistics, Python, TensorFlow, PyTorch, Git",98688
Data Analyst,6,France,Bachelor,Small,"Kubernetes, Scala, Java",127563.93
NLP Engineer,4,Canada,Master,Medium,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",84797
Machine Learning Researcher,12,Switzerland,Master,Large,"Python, AWS, Kubernetes, Deep Learning",290199
AI Research Scientist,8,United States,PhD,Large,"AWS, Kubernetes, Docker, Mathematics, MLOps",195691
AI Product Manager,9,Norway,Associate,Large,"Scala, Git, Java",193448
AI Product Manager,16,Israel,Associate,Large,"Azure, AWS, PyTorch, GCP, Hadoop",138466
Data Analyst,3,Netherlands,Bachelor,Medium,"Spark, Mathematics, PyTorch, SQL, TensorFlow",107145.09
Computer Vision Engineer,3,Sweden,PhD,Small,"SQL, Python, Deep Learning",92875
Data Engineer,13,United Kingdom,Master,Small,"TensorFlow, GCP, PyTorch, Spark",287937.45
NLP Engineer,2,Japan,Bachelor,Small,"Git, SQL, PyTorch, Mathematics",62171
AI Research Scientist,16,South Korea,Associate,Large,"Data Visualization, PyTorch, Spark, TensorFlow",152658
ML Ops Engineer,2,Norway,Associate,Medium,"TensorFlow, SQL, NLP, Computer Vision, Git",95085
Deep Learning Engineer,2,France,PhD,Small,"Java, R, Git, Mathematics, Spark",101497.5
AI Specialist,2,Israel,Master,Medium,"PyTorch, Docker, GCP",64261
Machine Learning Researcher,18,United States,Bachelor,Small,"Computer Vision, Hadoop, Git, AWS",205357
AI Architect,18,France,Associate,Small,"TensorFlow, Linux, SQL, Hadoop",193840.92
Computer Vision Engineer,9,France,Bachelor,Medium,"SQL, Scala, Python",134149.86
Data Scientist,6,France,Master,Large,"NLP, Computer Vision, Mathematics, Statistics, R",167484.33
Machine Learning Researcher,7,Germany,Bachelor,Small,"Azure, R, Linux, MLOps",136042.92
NLP Engineer,0,United States,Bachelor,Medium,"R, AWS, Computer Vision, Statistics, Docker",61055
ML Ops Engineer,0,Austria,Master,Large,"Kubernetes, SQL, Azure, Deep Learning, Linux",50303
Data Analyst,7,Ireland,Associate,Small,"PyTorch, SQL, MLOps, AWS, TensorFlow",65570
AI Software Engineer,17,Singapore,Bachelor,Medium,"MLOps, R, Git, Mathematics",231078
AI Product Manager,9,Australia,Bachelor,Medium,"Linux, Scala, SQL, Git",106633
AI Specialist,9,Austria,Master,Large,"Git, Deep Learning, Kubernetes, Linux, GCP",121180
Principal Data Scientist,0,China,PhD,Large,"Git, SQL, Scala, Python, Computer Vision",64531
Machine Learning Engineer,4,Singapore,PhD,Large,"Python, Tableau, Java",125654
Machine Learning Researcher,14,Austria,PhD,Large,"Docker, AWS, Linux, Git, Azure",182275
Machine Learning Researcher,4,Denmark,PhD,Large,"PyTorch, Scala, Linux, Tableau, Deep Learning",117708
Data Engineer,11,South Korea,Master,Small,"Docker, SQL, Kubernetes, Git, Statistics",143246
AI Product Manager,5,Denmark,Master,Large,"Statistics, R, Python, TensorFlow",203198
Research Scientist,0,Switzerland,Master,Small,"Kubernetes, Azure, Spark, TensorFlow, Linux",69487
AI Product Manager,17,Ireland,Associate,Small,"GCP, R, Azure, Deep Learning, PyTorch",95673
AI Software Engineer,1,Austria,Bachelor,Large,"Spark, Python, Deep Learning, Linux, Java",59405
AI Specialist,5,Netherlands,PhD,Medium,"AWS, R, Spark",154154.52
AI Software Engineer,0,South Korea,Bachelor,Large,"Python, TensorFlow, PyTorch",42835
Autonomous Systems Engineer,1,Canada,Associate,Medium,"Statistics, Python, SQL",61893
ML Ops Engineer,13,France,PhD,Medium,"Hadoop, Azure, Python, R",165895.47
AI Product Manager,11,United Kingdom,Master,Medium,"Computer Vision, GCP, Azure, SQL, Python",349159.95
NLP Engineer,2,Finland,Associate,Small,"Hadoop, Java, Data Visualization",49485
Robotics Engineer,8,Norway,Bachelor,Small,"Computer Vision, SQL, PyTorch, Java",172916
Machine Learning Engineer,11,Denmark,PhD,Large,"Hadoop, Python, Git, TensorFlow",324557
AI Consultant,4,France,Bachelor,Medium,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",86455.98
Principal Data Scientist,9,Sweden,Associate,Small,"Linux, AWS, Computer Vision, Deep Learning",122598
Data Scientist,4,Denmark,PhD,Small,"PyTorch, TensorFlow, Hadoop, Python",94478
Autonomous Systems Engineer,1,Austria,PhD,Medium,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",53088
Machine Learning Researcher,3,Denmark,Master,Medium,"SQL, MLOps, Python",116012
Deep Learning Engineer,0,China,Bachelor,Small,"Python, Hadoop, Deep Learning",35593
AI Product Manager,17,Austria,Master,Small,"GCP, Linux, R, Hadoop",149053
Principal Data Scientist,4,Austria,Associate,Large,"TensorFlow, Git, Azure, Python",88230
AI Research Scientist,19,Australia,Associate,Medium,"Kubernetes, Deep Learning, PyTorch",224919
Machine Learning Researcher,12,Netherlands,Associate,Small,"SQL, Data Visualization, GCP, Deep Learning, MLOps",257913.63
NLP Engineer,0,Finland,Bachelor,Small,"GCP, Python, Computer Vision, Git",48861
AI Specialist,7,United States,PhD,Small,"TensorFlow, Kubernetes, Deep Learning",115841
NLP Engineer,3,Ireland,Bachelor,Medium,"Computer Vision, PyTorch, Linux, TensorFlow",57266
Deep Learning Engineer,2,Australia,Associate,Small,"Git, Tableau, Hadoop, Computer Vision",66384
Data Analyst,11,Sweden,Bachelor,Small,"R, SQL, Data Visualization",184637
AI Research Scientist,4,Netherlands,Bachelor,Medium,"Linux, Python, Scala, Docker",108160.65
Machine Learning Researcher,1,Canada,Associate,Large,"Python, GCP, TensorFlow",57388
Head of AI,2,China,PhD,Medium,"Docker, Deep Learning, R",53374
AI Research Scientist,6,Finland,PhD,Small,"Git, Spark, Azure, Statistics",95716
NLP Engineer,2,Norway,PhD,Large,"Python, Java, Kubernetes, SQL, NLP",157091
ML Ops Engineer,8,Norway,PhD,Large,"Hadoop, Mathematics, Linux",204144
AI Software Engineer,12,Netherlands,PhD,Medium,"GCP, Computer Vision, Scala, AWS, Linux",222667.38
Principal Data Scientist,15,Denmark,Associate,Medium,"Data Visualization, SQL, Scala",198403
Research Scientist,7,Canada,Bachelor,Large,"SQL, Tableau, Statistics, GCP",153040
AI Software Engineer,2,Israel,Associate,Small,"Deep Learning, Python, NLP",51898
AI Architect,7,Germany,Associate,Small,"R, AWS, Git, Tableau",134773.47
ML Ops Engineer,5,United States,Bachelor,Large,"Python, Spark, Hadoop",170139
ML Ops Engineer,0,Canada,Master,Large,"Linux, TensorFlow, GCP, Docker, Azure",63860
NLP Engineer,3,Norway,PhD,Medium,"TensorFlow, Docker, AWS, Spark",125152
AI Software Engineer,0,South Korea,Bachelor,Large,"Linux, Azure, Kubernetes",61572
Head of AI,3,Germany,Master,Medium,"Statistics, Tableau, Java, Data Visualization, NLP",118233.18
Data Engineer,13,Canada,Master,Small,"Spark, Linux, AWS, Deep Learning",145355
Deep Learning Engineer,19,Singapore,Master,Small,"Scala, Data Visualization, TensorFlow, Mathematics, Java",183484
AI Product Manager,2,Singapore,PhD,Large,"PyTorch, Scala, Hadoop, Docker, Computer Vision",111997
AI Specialist,19,United Kingdom,Bachelor,Medium,"Tableau, GCP, Python",289163.25
AI Software Engineer,9,India,Master,Medium,"Python, TensorFlow, GCP, Java",93211
Deep Learning Engineer,1,Germany,Master,Large,"Statistics, TensorFlow, Python",96184.53
AI Software Engineer,9,Germany,Associate,Medium,"Scala, Hadoop, Azure",175112.73
AI Software Engineer,3,China,Associate,Medium,"Linux, Azure, Git, Deep Learning, Spark",56825
Research Scientist,2,Denmark,PhD,Large,"Kubernetes, Git, GCP, NLP",131635
NLP Engineer,7,Norway,PhD,Large,"Scala, Python, Data Visualization, Kubernetes, Statistics",163843
AI Consultant,2,India,Bachelor,Large,"Deep Learning, Azure, Python",73281
Principal Data Scientist,3,South Korea,Associate,Medium,"Statistics, AWS, Java, PyTorch",51907
NLP Engineer,12,Netherlands,Bachelor,Small,"Python, Spark, TensorFlow",208540.8
Machine Learning Researcher,7,Ireland,Master,Small,"SQL, Docker, Linux, GCP",83226
AI Product Manager,1,Austria,Master,Small,"PyTorch, NLP, MLOps, Azure",46995
AI Research Scientist,14,Switzerland,Associate,Large,"Docker, Azure, NLP",275296
Deep Learning Engineer,11,Denmark,Bachelor,Medium,"Python, TensorFlow, R",300422
AI Product Manager,2,Canada,Bachelor,Large,"SQL, PyTorch, NLP, Data Visualization",116704
AI Specialist,0,United States,PhD,Large,"Java, Python, Mathematics",98422
Machine Learning Researcher,15,Norway,Master,Medium,"Mathematics, Docker, Deep Learning",210249
NLP Engineer,3,South Korea,Master,Small,"NLP, R, Scala, Computer Vision, Azure",67708
Data Engineer,13,Austria,Master,Small,"Python, TensorFlow, Scala, AWS",95796
Head of AI,17,Denmark,Master,Large,"PyTorch, SQL, Kubernetes, Git, Java",229098
ML Ops Engineer,11,Ireland,Master,Small,"Java, Python, Deep Learning, Statistics",134300
AI Specialist,1,Australia,Associate,Medium,"TensorFlow, Docker, R, NLP, Java",74408
AI Architect,13,Netherlands,PhD,Medium,"Java, Scala, Tableau",236306.07
AI Software Engineer,17,France,Master,Small,"GCP, TensorFlow, Data Visualization",211493.88
Principal Data Scientist,0,China,Bachelor,Large,"Linux, PyTorch, TensorFlow, Azure, Python",49644
AI Product Manager,7,South Korea,Master,Medium,"MLOps, Python, Linux, NLP",89115
AI Software Engineer,1,Austria,Associate,Small,"Linux, Kubernetes, Spark, Java",38540
AI Product Manager,7,United States,Master,Large,"TensorFlow, Kubernetes, SQL, Linux, Mathematics",180252
Robotics Engineer,1,Netherlands,Master,Small,"MLOps, Java, AWS, NLP, PyTorch",66204.45
AI Specialist,5,Sweden,PhD,Medium,"Statistics, Python, TensorFlow",103942
Autonomous Systems Engineer,9,United Kingdom,Bachelor,Large,"PyTorch, SQL, TensorFlow, Git, Azure",237612.15
AI Specialist,2,Ireland,Associate,Medium,"Scala, SQL, Deep Learning, Statistics, GCP",59056
AI Consultant,3,Austria,Associate,Medium,"AWS, Scala, Docker",76940
Machine Learning Engineer,7,United Kingdom,PhD,Medium,"Spark, Kubernetes, Mathematics",148960.35
Data Scientist,4,United Kingdom,Associate,Large,"Python, SQL, Git",138944.7
Machine Learning Researcher,0,Japan,Master,Small,"Python, GCP, Docker, Git, Java",44130
Data Engineer,5,Singapore,Associate,Large,"Mathematics, Hadoop, Tableau",128112
Data Analyst,0,France,Bachelor,Medium,"Linux, Python, NLP",57203.64
Research Scientist,4,United Kingdom,Master,Large,"Java, Docker, Hadoop",172095.3
AI Research Scientist,6,Finland,PhD,Medium,"Python, Kubernetes, Statistics, TensorFlow",100524
Deep Learning Engineer,0,Japan,Associate,Large,"GCP, Deep Learning, Python, MLOps",45429
ML Ops Engineer,4,Austria,Bachelor,Large,"R, SQL, AWS, MLOps, Data Visualization",62262
AI Specialist,4,China,Master,Small,"Azure, Python, TensorFlow, Data Visualization",68595
AI Software Engineer,18,Norway,PhD,Medium,"GCP, Azure, Deep Learning, Spark, SQL",301038
Robotics Engineer,1,China,Associate,Medium,"MLOps, Data Visualization, Git, TensorFlow, Hadoop",46253
NLP Engineer,0,Australia,Associate,Medium,"R, Docker, GCP, Java",59644
Principal Data Scientist,3,Finland,Master,Medium,"PyTorch, MLOps, Computer Vision, AWS, Deep Learning",53960
Computer Vision Engineer,1,Netherlands,Associate,Large,"AWS, Hadoop, Python, Scala, Computer Vision",111025.98
Autonomous Systems Engineer,5,Israel,Associate,Large,"PyTorch, SQL, Kubernetes",91611
NLP Engineer,18,Netherlands,Master,Large,"SQL, Linux, Tableau, MLOps, Spark",334479.6
AI Architect,3,United Kingdom,Bachelor,Large,"Mathematics, Hadoop, Scala, NLP, Kubernetes",155605.05
Research Scientist,3,China,Associate,Small,"Scala, R, SQL",51882
Data Scientist,2,Germany,Master,Medium,"Java, Python, MLOps, Docker",95999.67
ML Ops Engineer,5,Canada,PhD,Large,"SQL, NLP, Python",122331
AI Product Manager,5,United States,Master,Small,"Data Visualization, Linux, GCP, Hadoop",159643
Research Scientist,15,United Kingdom,Bachelor,Medium,"Hadoop, Python, Linux, Mathematics",343311.75
Data Analyst,2,South Korea,Master,Medium,"Kubernetes, Linux, Tableau, MLOps, Statistics",52027
Robotics Engineer,0,India,Associate,Small,"Docker, PyTorch, Spark, TensorFlow, NLP",43072
Research Scientist,4,France,PhD,Large,"Tableau, Linux, PyTorch, Java, AWS",101802.87
AI Research Scientist,1,China,Master,Small,"Azure, Python, Mathematics",36734
Head of AI,3,Ireland,Associate,Large,"TensorFlow, Linux, Deep Learning, Hadoop",84897
AI Research Scientist,5,United States,Bachelor,Medium,"TensorFlow, Azure, Tableau, Data Visualization, Hadoop",173839
ML Ops Engineer,0,South Korea,Master,Large,"NLP, Tableau, Kubernetes, SQL, GCP",59357
Data Scientist,0,Austria,Associate,Medium,"Scala, Python, Data Visualization",51431
Autonomous Systems Engineer,5,Ireland,PhD,Small,"Hadoop, Spark, Kubernetes, Scala",96506
Data Analyst,1,Canada,Master,Small,"Linux, Kubernetes, Data Visualization, TensorFlow, Docker",59198
Machine Learning Engineer,12,Germany,PhD,Small,"Git, Statistics, Data Visualization, Python, Scala",261795.69
Deep Learning Engineer,1,France,Bachelor,Large,"Hadoop, Spark, Tableau, R, Python",86956.74
Research Scientist,2,United States,Associate,Medium,"TensorFlow, MLOps, Kubernetes, SQL, Java",120749
NLP Engineer,15,Finland,Master,Small,"Hadoop, Azure, Java, MLOps",138212
Robotics Engineer,15,Canada,Master,Small,"Git, Docker, Statistics, Mathematics",199039
AI Specialist,6,Singapore,PhD,Small,"Spark, Git, Hadoop",105699
Research Scientist,0,Japan,Bachelor,Small,"Python, Mathematics, PyTorch, Spark",38497
AI Product Manager,3,Japan,Associate,Small,"R, Azure, MLOps",63141
AI Specialist,9,Austria,Master,Large,"Git, Statistics, Mathematics, Hadoop, Java",87871
Research Scientist,18,United States,Bachelor,Medium,"SQL, Statistics, Mathematics, TensorFlow, GCP",255678
Data Analyst,7,Netherlands,Master,Small,"Java, Azure, Tableau, Python",154505.52
AI Research Scientist,6,United States,Associate,Medium,"Git, Scala, NLP, Python",146085
Data Engineer,3,Sweden,Master,Medium,"PyTorch, Python, Deep Learning, SQL, MLOps",85037
AI Product Manager,1,Ireland,Bachelor,Medium,"Python, Linux, Tableau, SQL, MLOps",42661
Deep Learning Engineer,7,Israel,Associate,Large,"TensorFlow, Hadoop, Python, Java, Docker",119706
Computer Vision Engineer,10,Finland,Bachelor,Medium,"PyTorch, Java, Kubernetes",110064
Research Scientist,9,China,Associate,Medium,"Azure, PyTorch, NLP, TensorFlow",91090
Principal Data Scientist,4,France,Master,Large,"Spark, Java, GCP",93959.19
AI Product Manager,3,Germany,Master,Large,"SQL, Python, GCP",125565.57
Head of AI,0,Austria,PhD,Large,"Python, GCP, Mathematics, Scala, Deep Learning",59373
Machine Learning Researcher,0,France,Master,Small,"GCP, Python, Azure, Scala",76273.47
Robotics Engineer,16,Austria,Associate,Large,"TensorFlow, PyTorch, Spark",152969
Research Scientist,8,Switzerland,Associate,Small,"R, Python, Data Visualization, TensorFlow",147893
Principal Data Scientist,0,United States,Bachelor,Large,"Data Visualization, Scala, Python, SQL, Linux",69807
AI Software Engineer,0,United Kingdom,Bachelor,Large,"Java, AWS, GCP, Spark",91562.4
Data Engineer,10,South Korea,Associate,Large,"AWS, Mathematics, Linux",141523
Data Analyst,9,India,PhD,Large,"Scala, AWS, Spark, Deep Learning",122796
AI Consultant,3,United States,PhD,Small,"Scala, GCP, MLOps, Python, Computer Vision",81885
Data Analyst,5,United Kingdom,Bachelor,Medium,"Scala, Mathematics, MLOps, Python",159981.75
Robotics Engineer,5,United States,Master,Small,"R, Git, Statistics, Spark, Python",133565
Data Analyst,1,United Kingdom,PhD,Small,"Java, Kubernetes, Tableau",81025.65
ML Ops Engineer,0,United States,Bachelor,Medium,"Docker, Hadoop, PyTorch, Python, Java",76875
Deep Learning Engineer,1,Australia,Bachelor,Large,"AWS, R, Python",64400
Autonomous Systems Engineer,3,Japan,Master,Medium,"MLOps, Data Visualization, Deep Learning, Python",68857
Computer Vision Engineer,7,Ireland,Bachelor,Medium,"R, Linux, AWS",97840
Machine Learning Engineer,18,Sweden,Bachelor,Large,"Azure, Git, SQL, NLP, Docker",168619
Machine Learning Researcher,8,United Kingdom,Associate,Medium,"Git, NLP, MLOps",159478.2
Principal Data Scientist,7,India,PhD,Small,"Java, Git, Data Visualization, SQL, Kubernetes",81112
Head of AI,4,United Kingdom,Master,Medium,"Git, Java, MLOps",150527.7
NLP Engineer,5,United States,Associate,Large,"TensorFlow, Kubernetes, Git, Computer Vision, Statistics",151610
Machine Learning Engineer,7,Austria,Bachelor,Large,"Linux, Statistics, MLOps, Computer Vision, Deep Learning",95128
Machine Learning Engineer,8,United Kingdom,PhD,Small,"Tableau, GCP, SQL, MLOps",184589.55
ML Ops Engineer,3,China,Bachelor,Small,"GCP, R, Python, Kubernetes",69822
Machine Learning Researcher,0,Switzerland,Bachelor,Large,"Azure, Python, Data Visualization",88380
NLP Engineer,18,France,Bachelor,Small,"PyTorch, Scala, NLP, GCP",233393.94
Deep Learning Engineer,4,Austria,Bachelor,Small,"Java, Hadoop, Deep Learning, TensorFlow",56268
Data Engineer,12,France,Master,Medium,"Deep Learning, Statistics, Docker",166492.17
NLP Engineer,15,India,Associate,Medium,"Spark, Python, Tableau",178371
Computer Vision Engineer,12,Israel,Associate,Small,"Tableau, SQL, MLOps, PyTorch",157412
AI Software Engineer,12,Switzerland,Associate,Small,"Docker, TensorFlow, Hadoop, Git, Scala",250562
Data Engineer,14,Ireland,Bachelor,Medium,"Tableau, AWS, NLP, Scala",167401
Computer Vision Engineer,0,Germany,Bachelor,Large,"Git, SQL, Spark, MLOps",99833.76
AI Consultant,5,Ireland,Associate,Small,"Tableau, Linux, SQL, Spark, GCP",94160
NLP Engineer,17,Japan,Master,Medium,"Hadoop, SQL, Computer Vision",147732
Autonomous Systems Engineer,0,Canada,Master,Small,"SQL, MLOps, Data Visualization, Scala, Git",50749
AI Consultant,19,Netherlands,PhD,Medium,"Data Visualization, Hadoop, Scala, AWS",260000.91
Data Analyst,0,Finland,Bachelor,Large,"Mathematics, Scala, MLOps, SQL",47958
Data Scientist,1,Israel,PhD,Large,"R, SQL, Scala",52877
AI Research Scientist,19,Finland,Bachelor,Medium,"Git, AWS, PyTorch",138782
AI Specialist,5,Ireland,Master,Small,"Computer Vision, SQL, Java, GCP",66150
Principal Data Scientist,18,Australia,PhD,Large,"Python, TensorFlow, Git, PyTorch, MLOps",178470
Deep Learning Engineer,3,China,Bachelor,Medium,"AWS, SQL, Azure",62936
Machine Learning Engineer,11,Japan,PhD,Small,"Mathematics, R, MLOps",159003
Computer Vision Engineer,15,China,Master,Medium,"R, Python, Azure, Java",98694
Data Engineer,1,China,Bachelor,Small,"Kubernetes, Scala, Data Visualization",50471
AI Software Engineer,3,Sweden,Bachelor,Medium,"Deep Learning, Kubernetes, SQL",104460
Research Scientist,0,Australia,Master,Medium,"Kubernetes, Scala, PyTorch, AWS, Docker",63711
